"Region","PrimaryKey","Line","PointNbr","layer","code","LineKey","PointLoc"
"SH","201A",2,15,"SOIL_SURF","S","201A",15
"SH","201A",2,15.5,"FOLIAR_1","POSE","201A",15.5
"SH","201A",2,15.5,"FOLIAR_2","L","201A",15.5
"SH","201A",2,15.5,"SOIL_SURF","S","201A",15.5
"SH","201A",2,16,"FOLIAR_1","N","201A",16
"SH","201A",2,16,"FOLIAR_2","L","201A",16
"SH","201A",2,16,"SOIL_SURF","S","201A",16
"SH","201A",2,16.5,"FOLIAR_1","POSE","201A",16.5
"SH","201A",2,16.5,"FOLIAR_2","L","201A",16.5
"SH","201A",2,16.5,"SOIL_SURF","S","201A",16.5
"SH","201A",2,17,"FOLIAR_1","N","201A",17
"SH","201A",2,17,"SOIL_SURF","S","201A",17
"SH","201A",2,17.5,"FOLIAR_1","POSE","201A",17.5
"SH","201A",2,17.5,"SOIL_SURF","S","201A",17.5
"SH","201A",2,18,"FOLIAR_1","N","201A",18
"SH","201A",2,18,"FOLIAR_2","L","201A",18
"SH","201A",2,18,"SOIL_SURF","S","201A",18
"SH","201A",2,18.5,"FOLIAR_1","POSE","201A",18.5
"SH","201A",2,18.5,"SOIL_SURF","POSE","201A",18.5
"SH","201A",2,19,"FOLIAR_1","POSE","201A",19
"SH","201A",2,19,"SOIL_SURF","S","201A",19
"SH","201A",2,19.5,"FOLIAR_1","N","201A",19.5
"SH","201A",2,19.5,"SOIL_SURF","S","201A",19.5
"SH","201A",2,20,"FOLIAR_1","N","201A",20
"SH","201A",2,20,"SOIL_SURF","S","201A",20
"SH","201A",2,20.5,"FOLIAR_1","POSE","201A",20.5
"SH","201A",2,20.5,"FOLIAR_2","L","201A",20.5
"SH","201A",2,20.5,"SOIL_SURF","S","201A",20.5
"SH","201A",2,21,"FOLIAR_1","AGROP","201A",21
"SH","201A",2,21,"FOLIAR_2","POSE","201A",21
"SH","201A",2,21,"FOLIAR_3","L","201A",21
"SH","201A",2,21,"SOIL_SURF","S","201A",21
"SH","201A",2,21.5,"FOLIAR_1","POSE","201A",21.5
"SH","201A",2,21.5,"FOLIAR_2","L","201A",21.5
"SH","201A",2,21.5,"SOIL_SURF","S","201A",21.5
"SH","201A",2,22,"FOLIAR_1","POSE","201A",22
"SH","201A",2,22,"SOIL_SURF","POSE","201A",22
"SH","201A",2,22.5,"FOLIAR_1","AGROP","201A",22.5
"SH","201A",2,22.5,"FOLIAR_2","POSE","201A",22.5
"SH","201A",2,22.5,"FOLIAR_3","L","201A",22.5
"SH","201A",2,22.5,"SOIL_SURF","S","201A",22.5
"SH","201A",2,23,"FOLIAR_1","POSE","201A",23
"SH","201A",2,23,"FOLIAR_2","L","201A",23
"SH","201A",2,23,"SOIL_SURF","S","201A",23
"SH","201A",2,23.5,"FOLIAR_1","AGROP","201A",23.5
"SH","201A",2,23.5,"FOLIAR_2","L","201A",23.5
"SH","201A",2,23.5,"SOIL_SURF","S","201A",23.5
"SH","201A",2,24,"FOLIAR_1","ACTH7","201A",24
"SH","201A",2,24,"FOLIAR_2","AGROP","201A",24
"SH","201A",2,24,"FOLIAR_3","L","201A",24
"SH","201A",2,24,"SOIL_SURF","S","201A",24
"SH","201A",2,24.5,"FOLIAR_1","AGROP","201A",24.5
"SH","201A",2,24.5,"FOLIAR_2","POSE","201A",24.5
"SH","201A",2,24.5,"FOLIAR_3","L","201A",24.5
"SH","201A",2,24.5,"SOIL_SURF","S","201A",24.5
"SH","201A",2,25,"FOLIAR_1","AGROP","201A",25
"SH","201A",2,25,"FOLIAR_2","POSE","201A",25
"SH","201A",2,25,"SOIL_SURF","S","201A",25
"SH","201A",2,25.5,"FOLIAR_1","AGROP","201A",25.5
"SH","201A",2,25.5,"FOLIAR_2","L","201A",25.5
"SH","201A",2,25.5,"SOIL_SURF","S","201A",25.5
"SH","201A",2,26,"FOLIAR_1","N","201A",26
"SH","201A",2,26,"FOLIAR_2","L","201A",26
"SH","201A",2,26,"SOIL_SURF","S","201A",26
"SH","201A",2,26.5,"FOLIAR_1","POSE","201A",26.5
"SH","201A",2,26.5,"FOLIAR_2","CHJU","201A",26.5
"SH","201A",2,26.5,"FOLIAR_3","L","201A",26.5
"SH","201A",2,26.5,"SOIL_SURF","S","201A",26.5
"SH","201A",2,27,"FOLIAR_1","ACTH7","201A",27
"SH","201A",2,27,"FOLIAR_2","POSE","201A",27
"SH","201A",2,27,"FOLIAR_3","L","201A",27
"SH","201A",2,27,"SOIL_SURF","S","201A",27
"SH","201A",2,27.5,"FOLIAR_1","AGROP","201A",27.5
"SH","201A",2,27.5,"FOLIAR_2","POSE","201A",27.5
"SH","201A",2,27.5,"FOLIAR_3","L","201A",27.5
"SH","201A",2,27.5,"SOIL_SURF","S","201A",27.5
"SH","201A",2,28,"FOLIAR_1","POSE","201A",28
"SH","201A",2,28,"FOLIAR_2","L","201A",28
"SH","201A",2,28,"SOIL_SURF","S","201A",28
"SH","201A",2,28.5,"FOLIAR_1","AGROP","201A",28.5
"SH","201A",2,28.5,"FOLIAR_2","POSE","201A",28.5
"SH","201A",2,28.5,"FOLIAR_3","L","201A",28.5
"SH","201A",2,28.5,"SOIL_SURF","S","201A",28.5
"SH","201A",2,29,"FOLIAR_1","AGROP","201A",29
"SH","201A",2,29,"SOIL_SURF","AGROP","201A",29
"SH","201A",2,29.5,"FOLIAR_1","AGROP","201A",29.5
"SH","201A",2,29.5,"FOLIAR_2","L","201A",29.5
"SH","201A",2,29.5,"SOIL_SURF","S","201A",29.5
"SH","201A",15,0,"FOLIAR_1","N","201A",0
"SH","201A",15,0,"FOLIAR_2","L","201A",0
"SH","201A",15,0,"SOIL_SURF","S","201A",0
"SH","201A",15,0.5,"FOLIAR_1","AGROP","201A",0.5
"SH","201A",15,0.5,"SOIL_SURF","AGROP","201A",0.5
"SH","201A",15,1,"FOLIAR_1","AGROP","201A",1
"SH","201A",15,1,"FOLIAR_2","L","201A",1
"SH","201A",15,1,"SOIL_SURF","S","201A",1
"SH","201A",15,1.5,"FOLIAR_1","POSE","201A",1.5
"SH","201A",15,1.5,"FOLIAR_2","L","201A",1.5
"SH","201A",15,1.5,"SOIL_SURF","S","201A",1.5
"SH","201A",15,2,"FOLIAR_1","N","201A",2
"SH","201A",15,2,"FOLIAR_2","L","201A",2
"SH","201A",15,2,"SOIL_SURF","S","201A",2
"SH","201A",15,2.5,"FOLIAR_1","POSE","201A",2.5
"SH","201A",15,2.5,"FOLIAR_2","L","201A",2.5
"SH","201A",15,2.5,"SOIL_SURF","S","201A",2.5
"SH","201A",15,3,"FOLIAR_1","AGROP","201A",3
"SH","201A",15,3,"SOIL_SURF","AGROP","201A",3
"SH","201A",15,3.5,"FOLIAR_1","AGROP","201A",3.5
"SH","201A",15,3.5,"FOLIAR_2","POSE","201A",3.5
"SH","201A",15,3.5,"FOLIAR_3","L","201A",3.5
"SH","201A",15,3.5,"SOIL_SURF","S","201A",3.5
"SH","201A",15,4,"FOLIAR_1","AGROP","201A",4
"SH","201A",15,4,"FOLIAR_2","L","201A",4
"SH","201A",15,4,"SOIL_SURF","S","201A",4
"SH","201A",15,4.5,"FOLIAR_1","BRTE","201A",4.5
"SH","201A",15,4.5,"FOLIAR_2","L","201A",4.5
"SH","201A",15,4.5,"SOIL_SURF","S","201A",4.5
"SH","201A",15,5,"FOLIAR_1","POSE","201A",5
"SH","201A",15,5,"FOLIAR_2","L","201A",5
"SH","201A",15,5,"SOIL_SURF","S","201A",5
"SH","201A",15,5.5,"FOLIAR_1","N","201A",5.5
"SH","201A",15,5.5,"FOLIAR_2","L","201A",5.5
"SH","201A",15,5.5,"SOIL_SURF","S","201A",5.5
"SH","201A",15,6,"FOLIAR_1","POSE","201A",6
"SH","201A",15,6,"FOLIAR_2","L","201A",6
"SH","201A",15,6,"SOIL_SURF","S","201A",6
"SH","201A",15,6.5,"FOLIAR_1","N","201A",6.5
"SH","201A",15,6.5,"FOLIAR_2","L","201A",6.5
"SH","201A",15,6.5,"SOIL_SURF","S","201A",6.5
"SH","201A",15,7,"FOLIAR_1","AGROP","201A",7
