LineKey,PrimaryKey,TRANSECT,GapStart,GapEnd,Gap,LineLengthAmount,GapMin,Measure,RecType
212A,212A,2,1240,1365,125,90,10,1,C
212A,212A,2,1374,1436,62,90,10,1,C
212A,212A,2,1450,1470,20,90,10,1,C
212A,212A,2,1479,1545,66,90,10,1,C
212A,212A,2,1589,1606,17,90,10,1,C
212A,212A,2,1677,1707,30,90,10,1,C
212A,212A,2,1718,1731,13,90,10,1,C
212A,212A,2,1746,1865,119,90,10,1,C
212A,212A,2,1875,1889,14,90,10,1,C
212A,212A,2,1894,1946,52,90,10,1,C
212A,212A,2,1971,2009,38,90,10,1,C
212A,212A,2,2031,2089,58,90,10,1,C
212A,212A,2,2125,2205,80,90,10,1,C
212A,212A,2,2282,2298,16,90,10,1,C
212A,212A,2,2329,2340,11,90,10,1,C
212A,212A,2,2373,2505,132,90,10,1,C
212A,212A,2,2511,2569,58,90,10,1,C
212A,212A,2,2613,2660,47,90,10,1,C
212A,212A,2,2674,2707,33,90,10,1,C
212A,212A,2,2721,2724,3,90,10,1,C
212A,212A,2,2768,2782,14,90,10,1,C
212A,212A,2,2801,2851,50,90,10,1,C
212A,212A,2,2867,2905,38,90,10,1,C
212A,212A,2,2920,2941,21,90,10,1,C
212A,212A,15,55,77,22,90,10,1,C
212A,212A,15,107,130,23,90,10,1,C
212A,212A,15,150,181,31,90,10,1,C
212A,212A,15,195,241,46,90,10,1,C
212A,212A,15,262,330,68,90,10,1,C
212A,212A,15,339,430,91,90,10,1,C
212A,212A,15,449,518,69,90,10,1,C
212A,212A,15,610,628,18,90,10,1,C
212A,212A,15,654,733,79,90,10,1,C
212A,212A,15,784,881,97,90,10,1,C
212A,212A,15,892,1001,109,90,10,1,C
212A,212A,15,1007,1028,21,90,10,1,C
212A,212A,15,1033,1066,33,90,10,1,C
212A,212A,15,1120,1131,11,90,10,1,C
212A,212A,15,1137,1185,48,90,10,1,C
212A,212A,15,1208,1230,22,90,10,1,C
212A,212A,15,1261,1274,13,90,10,1,C
212A,212A,15,1279,1455,176,90,10,1,C
212A,212A,15,1504,1565,61,90,10,1,C
212A,212A,15,1610,1620,10,90,10,1,C
212A,212A,15,1630,1729,99,90,10,1,C
212A,212A,15,1748,1829,81,90,10,1,C
212A,212A,15,1842,2098,256,90,10,1,C
212A,212A,15,2123,2174,51,90,10,1,C
212A,212A,15,2190,2252,62,90,10,1,C
212A,212A,15,2293,2311,18,90,10,1,C
212A,212A,15,2348,2375,27,90,10,1,C
212A,212A,15,2386,2444,58,90,10,1,C
212A,212A,15,2458,2481,23,90,10,1,C
212A,212A,15,2491,2616,125,90,10,1,C
212A,212A,15,2652,2733,81,90,10,1,C
212A,212A,15,2753,2770,17,90,10,1,C
212A,212A,15,2822,2931,109,90,10,1,C
212A,212A,28,120,170,50,90,10,1,C
212A,212A,28,190,201,11,90,10,1,C
212A,212A,28,215,252,37,90,10,1,C
212A,212A,28,267,303,36,90,10,1,C
212A,212A,28,327,362,35,90,10,1,C
212A,212A,28,375,396,21,90,10,1,C
212A,212A,28,406,543,137,90,10,1,C
212A,212A,28,550,561,11,90,10,1,C
212A,212A,28,566,596,30,90,10,1,C
212A,212A,28,723,771,48,90,10,1,C
212A,212A,28,787,802,15,90,10,1,C
212A,212A,28,816,849,33,90,10,1,C
212A,212A,28,880,971,91,90,10,1,C
212A,212A,28,978,996,18,90,10,1,C
212A,212A,28,1007,1026,19,90,10,1,C
212A,212A,28,1035,1054,19,90,10,1,C
212A,212A,28,1101,1120,19,90,10,1,C
212A,212A,28,1141,1216,75,90,10,1,C
212A,212A,28,1487,1510,23,90,10,1,C
212A,212A,28,1525,1546,21,90,10,1,C
212A,212A,28,1560,1580,20,90,10,1,C
212A,212A,28,1614,1645,31,90,10,1,C
212A,212A,28,1755,1771,16,90,10,1,C
212A,212A,28,1834,1875,41,90,10,1,C
212A,212A,28,1896,1923,27,90,10,1,C
212A,212A,28,2020,2042,22,90,10,1,C
212A,212A,28,2121,2164,43,90,10,1,C
212A,212A,28,2417,2471,54,90,10,1,C
212A,212A,28,2540,2558,18,90,10,1,C
212A,212A,28,2650,2723,73,90,10,1,C
212A,212A,28,2735,2806,71,90,10,1,C
212A,212A,28,2855,2885,30,90,10,1,C
212A,212A,28,2891,3000,109,90,10,1,C
212G,212G,2,11,122,111,90,10,1,C
212G,212G,2,264,274,10,90,10,1,C
212G,212G,2,766,888,122,90,10,1,C
212G,212G,2,910,946,36,90,10,1,C
212G,212G,2,1000,1021,21,90,10,1,C
212G,212G,2,1100,1122,22,90,10,1,C
212G,212G,2,1156,1172,16,90,10,1,C
212G,212G,2,1255,1280,25,90,10,1,C
212G,212G,2,1289,1326,37,90,10,1,C
212G,212G,2,1381,1513,132,90,10,1,C
212G,212G,2,1535,1557,22,90,10,1,C
212G,212G,2,1632,1679,47,90,10,1,C
212G,212G,2,1785,1804,19,90,10,1,C
212G,212G,2,1946,1963,17,90,10,1,C
212G,212G,2,2008,2081,73,90,10,1,C
212G,212G,2,2317,2340,23,90,10,1,C
212G,212G,2,2356,2383,27,90,10,1,C
212G,212G,2,2570,2612,42,90,10,1,C
212G,212G,2,2618,2651,33,90,10,1,C
212G,212G,2,2673,2690,17,90,10,1,C
212G,212G,2,2727,2750,23,90,10,1,C
212G,212G,2,2762,2784,22,90,10,1,C
212G,212G,2,2822,2864,42,90,10,1,C
212G,212G,2,2890,2905,15,90,10,1,C
212G,212G,2,2969,2990,21,90,10,1,C
212G,212G,15,2,98,96,90,10,1,C
212G,212G,15,120,195,75,90,10,1,C
212G,212G,15,212,267,55,90,10,1,C
212G,212G,15,300,315,15,90,10,1,C
212G,212G,15,359,536,177,90,10,1,C
212G,212G,15,557,584,27,90,10,1,C
212G,212G,15,608,638,30,90,10,1,C
212G,212G,15,682,710,28,90,10,1,C
212G,212G,15,835,849,14,90,10,1,C
212G,212G,15,945,1077,132,90,10,1,C
212G,212G,15,1087,1101,14,90,10,1,C
212G,212G,15,1196,1209,13,90,10,1,C
212G,212G,15,1214,1242,28,90,10,1,C
212G,212G,15,1283,1330,47,90,10,1,C
212G,212G,15,1364,1388,24,90,10,1,C
212G,212G,15,1435,1447,12,90,10,1,C
212G,212G,15,1475,1518,43,90,10,1,C
212G,212G,15,1561,1583,22,90,10,1,C
212G,212G,15,1605,1626,21,90,10,1,C
212G,212G,15,1702,1723,21,90,10,1,C
212G,212G,15,1791,1850,59,90,10,1,C
212G,212G,15,1852,1982,130,90,10,1,C
212G,212G,15,1998,2013,15,90,10,1,C
212G,212G,15,2045,2097,52,90,10,1,C
212G,212G,15,2128,2174,46,90,10,1,C
212G,212G,15,2181,2192,11,90,10,1,C
212G,212G,15,2226,2243,17,90,10,1,C
212G,212G,15,2314,2359,45,90,10,1,C
212G,212G,15,2421,2441,20,90,10,1,C
212G,212G,15,2486,2515,29,90,10,1,C
212G,212G,15,2622,2747,125,90,10,1,C
212G,212G,15,2753,2913,160,90,10,1,C
212G,212G,15,2926,2986,60,90,10,1,C
212G,212G,28,43,63,20,90,10,1,C
212G,212G,28,210,232,22,90,10,1,C
212G,212G,28,257,289,32,90,10,1,C
212G,212G,28,323,420,97,90,10,1,C
212G,212G,28,454,471,17,90,10,1,C
212G,212G,28,585,608,23,90,10,1,C
212G,212G,28,622,660,38,90,10,1,C
212G,212G,28,670,690,20,90,10,1,C
212G,212G,28,700,759,59,90,10,1,C
212G,212G,28,824,861,37,90,10,1,C
212G,212G,28,891,933,42,90,10,1,C
212G,212G,28,985,1038,53,90,10,1,C
212G,212G,28,1055,1242,187,90,10,1,C
212G,212G,28,1254,1289,35,90,10,1,C
212G,212G,28,1350,1379,29,90,10,1,C
212G,212G,28,1448,1549,101,90,10,1,C
212G,212G,28,1555,1585,30,90,10,1,C
212G,212G,28,1643,1702,59,90,10,1,C
212G,212G,28,1714,1861,147,90,10,1,C
212G,212G,28,1885,1920,35,90,10,1,C
212G,212G,28,1931,1972,41,90,10,1,C
212G,212G,28,2011,2168,157,90,10,1,C
212G,212G,28,2220,2251,31,90,10,1,C
212G,212G,28,2272,2300,28,90,10,1,C
212G,212G,28,2321,2344,23,90,10,1,C
212G,212G,28,2351,2385,34,90,10,1,C
212G,212G,28,2416,2483,67,90,10,1,C
212G,212G,28,2489,2500,11,90,10,1,C
212G,212G,28,2505,2515,10,90,10,1,C
212G,212G,28,2545,2560,15,90,10,1,C
212G,212G,28,2582,2609,27,90,10,1,C
212G,212G,28,2620,2662,42,90,10,1,C
212G,212G,28,2752,2793,41,90,10,1,C
212G,212G,28,2802,2813,11,90,10,1,C
212G,212G,28,2838,2879,41,90,10,1,C
212G,212G,28,2891,2908,17,90,10,1,C
212G,212G,28,2929,3000,71,90,10,1,C
213A,213A,2,108,125,17,90,10,1,C
213A,213A,2,134,150,16,90,10,1,C
213A,213A,2,280,318,38,90,10,1,C
213A,213A,2,371,416,45,90,10,1,C
213A,213A,2,458,510,52,90,10,1,C
213A,213A,2,540,556,16,90,10,1,C
213A,213A,2,561,573,12,90,10,1,C
213A,213A,2,655,693,38,90,10,1,C
213A,213A,2,712,736,24,90,10,1,C
213A,213A,2,746,829,83,90,10,1,C
213A,213A,2,839,850,11,90,10,1,C
213A,213A,2,878,895,17,90,10,1,C
213A,213A,2,900,913,13,90,10,1,C
213A,213A,2,920,948,28,90,10,1,C
213A,213A,2,1011,1023,12,90,10,1,C
213A,213A,2,1030,1043,13,90,10,1,C
213A,213A,2,1065,1131,66,90,10,1,C
213A,213A,2,1155,1214,59,90,10,1,C
213A,213A,2,1295,1371,76,90,10,1,C
213A,213A,2,1380,1391,11,90,10,1,C
213A,213A,2,1449,1489,40,90,10,1,C
213A,213A,2,1555,1590,35,90,10,1,C
213A,213A,2,1714,1730,16,90,10,1,C
213A,213A,2,1801,1842,41,90,10,1,C
213A,213A,2,1854,1882,28,90,10,1,C
213A,213A,2,1941,1960,19,90,10,1,C
213A,213A,2,2048,2071,23,90,10,1,C
213A,213A,2,2077,2101,24,90,10,1,C
213A,213A,2,2110,2155,45,90,10,1,C
213A,213A,2,2280,2308,28,90,10,1,C
213A,213A,2,2368,2431,63,90,10,1,C
213A,213A,2,2440,2452,12,90,10,1,C
213A,213A,2,2540,2562,22,90,10,1,C
213A,213A,2,2588,2626,38,90,10,1,C
213A,213A,2,2681,2726,45,90,10,1,C
213A,213A,2,2864,2887,23,90,10,1,C
213A,213A,2,2912,2933,21,90,10,1,C
213A,213A,2,2938,2951,13,90,10,1,C
213A,213A,15,54,109,55,90,10,1,C
213A,213A,15,128,169,41,90,10,1,C
213A,213A,15,206,233,27,90,10,1,C
213A,213A,15,358,441,83,90,10,1,C
213A,213A,15,499,608,109,90,10,1,C
213A,213A,15,659,691,32,90,10,1,C
213A,213A,15,716,769,53,90,10,1,C
213A,213A,15,774,785,11,90,10,1,C
213A,213A,15,869,909,40,90,10,1,C
213A,213A,15,938,989,51,90,10,1,C
213A,213A,15,1026,1049,23,90,10,1,C
213A,213A,15,1056,1104,48,90,10,1,C
213A,213A,15,1140,1184,44,90,10,1,C
213A,213A,15,1193,1222,29,90,10,1,C
213A,213A,15,1244,1265,21,90,10,1,C
213A,213A,15,1273,1310,37,90,10,1,C
213A,213A,15,1319,1378,59,90,10,1,C
213A,213A,15,1442,1473,31,90,10,1,C
213A,213A,15,1496,1539,43,90,10,1,C
213A,213A,15,1560,1587,27,90,10,1,C
213A,213A,15,1593,1671,78,90,10,1,C
213A,213A,15,1697,1709,12,90,10,1,C
213A,213A,15,1714,1742,28,90,10,1,C
213A,213A,15,1775,1951,176,90,10,1,C
213A,213A,15,2004,2042,38,90,10,1,C
213A,213A,15,2058,2105,47,90,10,1,C
213A,213A,15,2116,2148,32,90,10,1,C
213A,213A,15,2178,2212,34,90,10,1,C
213A,213A,15,2353,2380,27,90,10,1,C
213A,213A,15,2393,2448,55,90,10,1,C
213A,213A,15,2493,2528,35,90,10,1,C
213A,213A,15,2578,2645,67,90,10,1,C
213A,213A,15,2655,2718,63,90,10,1,C
213A,213A,15,2763,2790,27,90,10,1,C
213A,213A,15,2843,2866,23,90,10,1,C
213A,213A,15,2895,2970,75,90,10,1,C
213A,213A,28,9,41,32,90,10,1,C
213A,213A,28,154,172,18,90,10,1,C
213A,213A,28,183,204,21,90,10,1,C
213A,213A,28,289,355,66,90,10,1,C
213A,213A,28,378,409,31,90,10,1,C
213A,213A,28,427,456,29,90,10,1,C
213A,213A,28,461,508,47,90,10,1,C
213A,213A,28,562,661,99,90,10,1,C
213A,213A,28,681,733,52,90,10,1,C
213A,213A,28,781,813,32,90,10,1,C
213A,213A,28,846,868,22,90,10,1,C
213A,213A,28,912,962,50,90,10,1,C
213A,213A,28,979,1013,34,90,10,1,C
213A,213A,28,1023,1078,55,90,10,1,C
213A,213A,28,1249,1298,49,90,10,1,C
213A,213A,28,1354,1393,39,90,10,1,C
213A,213A,28,1473,1498,25,90,10,1,C
213A,213A,28,1506,1558,52,90,10,1,C
213A,213A,28,1565,1595,30,90,10,1,C
213A,213A,28,1700,1722,22,90,10,1,C
213A,213A,28,1765,1863,98,90,10,1,C
213A,213A,28,1904,1967,63,90,10,1,C
213A,213A,28,1990,2008,18,90,10,1,C
213A,213A,28,2026,2052,26,90,10,1,C
213A,213A,28,2089,2104,15,90,10,1,C
213A,213A,28,2124,2150,26,90,10,1,C
213A,213A,28,2348,2372,24,90,10,1,C
213A,213A,28,2414,2468,54,90,10,1,C
213A,213A,28,2510,2575,65,90,10,1,C
213A,213A,28,2590,2667,77,90,10,1,C
213A,213A,28,2759,2770,11,90,10,1,C
213A,213A,28,2777,2849,72,90,10,1,C
213A,213A,28,2858,2888,30,90,10,1,C
213A,213A,28,2939,2966,27,90,10,1,C
213A,213A,28,2973,2995,22,90,10,1,C
213G,213G,2,118,155,37,90,10,1,C
213G,213G,2,217,245,28,90,10,1,C
213G,213G,2,300,315,15,90,10,1,C
213G,213G,2,329,340,11,90,10,1,C
213G,213G,2,388,420,32,90,10,1,C
213G,213G,2,447,467,20,90,10,1,C
213G,213G,2,519,536,17,90,10,1,C
213G,213G,2,768,780,12,90,10,1,C
213G,213G,2,983,1000,17,90,10,1,C
213G,213G,2,1137,1163,26,90,10,1,C
213G,213G,2,1212,1225,13,90,10,1,C
213G,213G,2,1238,1261,23,90,10,1,C
213G,213G,2,1293,1327,34,90,10,1,C
213G,213G,2,1346,1357,11,90,10,1,C
213G,213G,2,1408,1424,16,90,10,1,C
213G,213G,2,1439,1451,12,90,10,1,C
213G,213G,2,1550,1571,21,90,10,1,C
213G,213G,2,1582,1627,45,90,10,1,C
213G,213G,2,1643,1720,77,90,10,1,C
213G,213G,2,1769,1810,41,90,10,1,C
213G,213G,2,1815,1829,14,90,10,1,C
213G,213G,2,1849,1872,23,90,10,1,C
213G,213G,2,1927,1974,47,90,10,1,C
213G,213G,2,2031,2055,24,90,10,1,C
213G,213G,2,2071,2081,10,90,10,1,C
213G,213G,2,2110,2128,18,90,10,1,C
213G,213G,2,2143,2178,35,90,10,1,C
213G,213G,2,2190,2213,23,90,10,1,C
213G,213G,2,2262,2309,47,90,10,1,C
213G,213G,2,2335,2370,35,90,10,1,C
213G,213G,2,2393,2404,11,90,10,1,C
213G,213G,2,2517,2548,31,90,10,1,C
213G,213G,2,2579,2591,12,90,10,1,C
213G,213G,2,2598,2618,20,90,10,1,C
213G,213G,2,2660,2692,32,90,10,1,C
213G,213G,2,2771,2793,22,90,10,1,C
213G,213G,2,2816,2841,25,90,10,1,C
213G,213G,15,193,216,23,90,10,1,C
213G,213G,15,244,300,56,90,10,1,C
213G,213G,15,335,357,22,90,10,1,C
213G,213G,15,489,502,13,90,10,1,C
213G,213G,15,510,536,26,90,10,1,C
213G,213G,15,578,605,27,90,10,1,C
213G,213G,15,612,641,29,90,10,1,C
213G,213G,15,650,666,16,90,10,1,C
213G,213G,15,674,753,79,90,10,1,C
213G,213G,15,765,785,20,90,10,1,C
213G,213G,15,797,860,63,90,10,1,C
213G,213G,15,871,961,90,90,10,1,C
213G,213G,15,997,1030,33,90,10,1,C
213G,213G,15,1035,1045,10,90,10,1,C
213G,213G,15,1050,1080,30,90,10,1,C
213G,213G,15,1095,1140,45,90,10,1,C
213G,213G,15,1194,1267,73,90,10,1,C
213G,213G,15,1282,1368,86,90,10,1,C
213G,213G,15,1373,1443,70,90,10,1,C
213G,213G,15,1448,1476,28,90,10,1,C
213G,213G,15,1521,1551,30,90,10,1,C
213G,213G,15,1598,1647,49,90,10,1,C
213G,213G,15,1657,1751,94,90,10,1,C
213G,213G,15,1756,1771,15,90,10,1,C
213G,213G,15,1779,1792,13,90,10,1,C
213G,213G,15,1820,1848,28,90,10,1,C
213G,213G,15,1860,2012,152,90,10,1,C
213G,213G,15,2046,2065,19,90,10,1,C
213G,213G,15,2100,2125,25,90,10,1,C
213G,213G,15,2132,2143,11,90,10,1,C
213G,213G,15,2158,2171,13,90,10,1,C
213G,213G,15,2176,2186,10,90,10,1,C
213G,213G,15,2202,2215,13,90,10,1,C
213G,213G,15,2243,2256,13,90,10,1,C
213G,213G,15,2278,2356,78,90,10,1,C
213G,213G,15,2398,2420,22,90,10,1,C
213G,213G,15,2444,2472,28,90,10,1,C
213G,213G,15,2502,2579,77,90,10,1,C
213G,213G,15,2592,2604,12,90,10,1,C
213G,213G,15,2647,2662,15,90,10,1,C
213G,213G,15,2667,2695,28,90,10,1,C
213G,213G,15,2720,2751,31,90,10,1,C
213G,213G,15,2773,2792,19,90,10,1,C
213G,213G,15,2818,2833,15,90,10,1,C
213G,213G,15,2901,2931,30,90,10,1,C
213G,213G,15,2938,2948,10,90,10,1,C
213G,213G,15,2980,2995,15,90,10,1,C
213G,213G,28,127,142,15,90,10,1,C
213G,213G,28,159,180,21,90,10,1,C
213G,213G,28,206,251,45,90,10,1,C
213G,213G,28,286,305,19,90,10,1,C
213G,213G,28,325,340,15,90,10,1,C
213G,213G,28,400,445,45,90,10,1,C
213G,213G,28,468,483,15,90,10,1,C
213G,213G,28,520,548,28,90,10,1,C
213G,213G,28,619,651,32,90,10,1,C
213G,213G,28,845,858,13,90,10,1,C
213G,213G,28,869,885,16,90,10,1,C
213G,213G,28,945,984,39,90,10,1,C
213G,213G,28,1009,1022,13,90,10,1,C
213G,213G,28,1078,1090,12,90,10,1,C
213G,213G,28,1098,1113,15,90,10,1,C
213G,213G,28,1119,1134,15,90,10,1,C
213G,213G,28,1160,1187,27,90,10,1,C
213G,213G,28,1195,1206,11,90,10,1,C
213G,213G,28,1212,1222,10,90,10,1,C
213G,213G,28,1227,1319,92,90,10,1,C
213G,213G,28,1326,1380,54,90,10,1,C
213G,213G,28,1432,1457,25,90,10,1,C
213G,213G,28,1471,1493,22,90,10,1,C
213G,213G,28,1556,1576,20,90,10,1,C
213G,213G,28,1816,1831,15,90,10,1,C
213G,213G,28,1845,1857,12,90,10,1,C
213G,213G,28,1936,1948,12,90,10,1,C
213G,213G,28,1955,1978,23,90,10,1,C
213G,213G,28,2040,2055,15,90,10,1,C
213G,213G,28,2101,2139,38,90,10,1,C
213G,213G,28,2148,2191,43,90,10,1,C
213G,213G,28,2208,2223,15,90,10,1,C
213G,213G,28,2230,2242,12,90,10,1,C
213G,213G,28,2249,2270,21,90,10,1,C
213G,213G,28,2300,2326,26,90,10,1,C
213G,213G,28,2385,2408,23,90,10,1,C
213G,213G,28,2416,2519,103,90,10,1,C
213G,213G,28,2535,2573,38,90,10,1,C
213G,213G,28,2580,2594,14,90,10,1,C
213G,213G,28,2602,2638,36,90,10,1,C
213G,213G,28,2665,2684,19,90,10,1,C
213G,213G,28,2690,2718,28,90,10,1,C
213G,213G,28,2775,2818,43,90,10,1,C
213G,213G,28,2864,2885,21,90,10,1,C
213G,213G,28,2937,2956,19,90,10,1,C
213G,213G,28,2962,2990,28,90,10,1,C
214A,214A,2,8,20,12,90,10,1,C
214A,214A,2,85,115,30,90,10,1,C
214A,214A,2,136,154,18,90,10,1,C
214A,214A,2,160,202,42,90,10,1,C
214A,214A,2,237,250,13,90,10,1,C
214A,214A,2,358,371,13,90,10,1,C
214A,214A,2,389,405,16,90,10,1,C
214A,214A,2,439,450,11,90,10,1,C
214A,214A,2,479,492,13,90,10,1,C
214A,214A,2,577,612,35,90,10,1,C
214A,214A,2,639,665,26,90,10,1,C
214A,214A,2,695,738,43,90,10,1,C
214A,214A,2,750,764,14,90,10,1,C
214A,214A,2,793,834,41,90,10,1,C
214A,214A,2,868,916,48,90,10,1,C
214A,214A,2,938,968,30,90,10,1,C
214A,214A,2,1632,1644,12,90,10,1,C
214A,214A,2,1940,1988,48,90,10,1,C
214A,214A,2,2015,2033,18,90,10,1,C
214A,214A,2,2124,2166,42,90,10,1,C
214A,214A,2,2272,2310,38,90,10,1,C
214A,214A,2,2351,2389,38,90,10,1,C
214A,214A,2,2421,2444,23,90,10,1,C
214A,214A,2,2467,2486,19,90,10,1,C
214A,214A,2,2580,2605,25,90,10,1,C
214A,214A,2,2735,2783,48,90,10,1,C
214A,214A,2,2801,2819,18,90,10,1,C
214A,214A,2,2845,2985,140,90,10,1,C
214A,214A,15,0,111,111,90,10,1,C
214A,214A,15,15,92,77,90,10,1,C
214A,214A,15,282,292,10,90,10,1,C
214A,214A,15,475,500,25,90,10,1,C
214A,214A,15,517,534,17,90,10,1,C
214A,214A,15,602,632,30,90,10,1,C
214A,214A,15,653,715,62,90,10,1,C
214A,214A,15,754,808,54,90,10,1,C
214A,214A,15,833,850,17,90,10,1,C
214A,214A,15,972,1017,45,90,10,1,C
214A,214A,15,1049,1090,41,90,10,1,C
214A,214A,15,1179,1225,46,90,10,1,C
214A,214A,15,1248,1297,49,90,10,1,C
214A,214A,15,1351,1365,14,90,10,1,C
214A,214A,15,1390,1414,24,90,10,1,C
214A,214A,15,1435,1456,21,90,10,1,C
214A,214A,15,1549,1572,23,90,10,1,C
214A,214A,15,1594,1647,53,90,10,1,C
214A,214A,15,1709,1759,50,90,10,1,C
214A,214A,15,1829,1851,22,90,10,1,C
214A,214A,15,1868,1882,14,90,10,1,C
214A,214A,15,1893,1910,17,90,10,1,C
214A,214A,15,1961,1980,19,90,10,1,C
214A,214A,15,2048,2061,13,90,10,1,C
214A,214A,15,2082,2121,39,90,10,1,C
214A,214A,15,2246,2279,33,90,10,1,C
214A,214A,15,2324,2360,36,90,10,1,C
214A,214A,15,2420,2435,15,90,10,1,C
214A,214A,15,2441,2454,13,90,10,1,C
214A,214A,15,2485,2537,52,90,10,1,C
214A,214A,15,2571,2606,35,90,10,1,C
214A,214A,15,2657,2688,31,90,10,1,C
214A,214A,15,2738,2752,14,90,10,1,C
214A,214A,28,130,205,75,90,10,1,C
214A,214A,28,261,302,41,90,10,1,C
214A,214A,28,353,444,91,90,10,1,C
214A,214A,28,473,540,67,90,10,1,C
214A,214A,28,615,728,113,90,10,1,C
214A,214A,28,741,788,47,90,10,1,C
214A,214A,28,869,929,60,90,10,1,C
214A,214A,28,939,961,22,90,10,1,C
214A,214A,28,1046,1100,54,90,10,1,C
214A,214A,28,1147,1160,13,90,10,1,C
214A,214A,28,1308,1336,28,90,10,1,C
214A,214A,28,1359,1384,25,90,10,1,C
214A,214A,28,1404,1416,12,90,10,1,C
214A,214A,28,1421,1482,61,90,10,1,C
214A,214A,28,1514,1532,18,90,10,1,C
214A,214A,28,1978,2000,22,90,10,1,C
214A,214A,28,2010,2020,10,90,10,1,C
214A,214A,28,2025,2061,36,90,10,1,C
214A,214A,28,2112,2142,30,90,10,1,C
214A,214A,28,2212,2284,72,90,10,1,C
214A,214A,28,2291,2303,12,90,10,1,C
214A,214A,28,2346,2363,17,90,10,1,C
214A,214A,28,2414,2440,26,90,10,1,C
214A,214A,28,2538,2550,12,90,10,1,C
214A,214A,28,2555,2568,13,90,10,1,C
214A,214A,28,2596,2610,14,90,10,1,C
214A,214A,28,2664,2684,20,90,10,1,C
214A,214A,28,2708,2733,25,90,10,1,C
214A,214A,28,2868,2900,32,90,10,1,C
214A,214A,28,2935,2980,45,90,10,1,C
214A,214A,28,2990,3000,10,90,10,1,C
214G,214G,2,20,48,28,90,10,1,C
214G,214G,2,65,98,33,90,10,1,C
214G,214G,2,112,127,15,90,10,1,C
214G,214G,2,133,159,26,90,10,1,C
214G,214G,2,235,430,195,90,10,1,C
214G,214G,2,435,486,51,90,10,1,C
214G,214G,2,498,512,14,90,10,1,C
214G,214G,2,557,626,69,90,10,1,C
214G,214G,2,636,646,10,90,10,1,C
214G,214G,2,651,681,30,90,10,1,C
214G,214G,2,699,728,29,90,10,1,C
214G,214G,2,768,788,20,90,10,1,C
214G,214G,2,795,834,39,90,10,1,C
214G,214G,2,851,916,65,90,10,1,C
214G,214G,2,953,993,40,90,10,1,C
214G,214G,2,1013,1030,17,90,10,1,C
214G,214G,2,1039,1062,23,90,10,1,C
214G,214G,2,1227,1253,26,90,10,1,C
214G,214G,2,1263,1287,24,90,10,1,C
214G,214G,2,1330,1345,15,90,10,1,C
214G,214G,2,1456,1478,22,90,10,1,C
214G,214G,2,1532,1551,19,90,10,1,C
214G,214G,2,1596,1613,17,90,10,1,C
214G,214G,2,1638,1652,14,90,10,1,C
214G,214G,2,1664,1685,21,90,10,1,C
214G,214G,2,1695,1725,30,90,10,1,C
214G,214G,2,1797,1856,59,90,10,1,C
214G,214G,2,1897,1907,10,90,10,1,C
214G,214G,2,1975,1994,19,90,10,1,C
214G,214G,2,2003,2169,166,90,10,1,C
214G,214G,2,2187,2266,79,90,10,1,C
214G,214G,2,2293,2317,24,90,10,1,C
214G,214G,2,2331,2481,150,90,10,1,C
214G,214G,2,2523,2536,13,90,10,1,C
214G,214G,2,2566,2585,19,90,10,1,C
214G,214G,15,0,10,10,90,10,1,C
214G,214G,15,61,167,106,90,10,1,C
214G,214G,15,206,273,67,90,10,1,C
214G,214G,15,309,322,13,90,10,1,C
214G,214G,15,578,608,30,90,10,1,C
214G,214G,15,824,918,94,90,10,1,C
214G,214G,15,927,963,36,90,10,1,C
214G,214G,15,1012,1037,25,90,10,1,C
214G,214G,15,1149,1176,27,90,10,1,C
214G,214G,15,1228,1287,59,90,10,1,C
214G,214G,15,1319,1356,37,90,10,1,C
214G,214G,15,1377,1413,36,90,10,1,C
214G,214G,15,1454,1471,17,90,10,1,C
214G,214G,15,1585,1613,28,90,10,1,C
214G,214G,15,1689,1719,30,90,10,1,C
214G,214G,15,1911,1945,34,90,10,1,C
214G,214G,15,1957,1969,12,90,10,1,C
214G,214G,15,1980,2002,22,90,10,1,C
214G,214G,15,2022,2067,45,90,10,1,C
214G,214G,15,2076,2099,23,90,10,1,C
214G,214G,15,2118,2184,66,90,10,1,C
214G,214G,15,2357,2372,15,90,10,1,C
214G,214G,15,2382,2395,13,90,10,1,C
214G,214G,15,2410,2431,21,90,10,1,C
214G,214G,15,2507,2523,16,90,10,1,C
214G,214G,15,2535,2574,39,90,10,1,C
214G,214G,15,2675,2700,25,90,10,1,C
214G,214G,15,2773,2797,24,90,10,1,C
214G,214G,15,2808,2837,29,90,10,1,C
214G,214G,15,2852,2921,69,90,10,1,C
214G,214G,15,2927,2988,61,90,10,1,C
214G,214G,28,15,48,33,90,10,1,C
214G,214G,28,104,129,25,90,10,1,C
214G,214G,28,221,236,15,90,10,1,C
214G,214G,28,288,308,20,90,10,1,C
214G,214G,28,336,347,11,90,10,1,C
214G,214G,28,355,370,15,90,10,1,C
214G,214G,28,375,394,19,90,10,1,C
214G,214G,28,399,418,19,90,10,1,C
214G,214G,28,439,478,39,90,10,1,C
214G,214G,28,588,607,19,90,10,1,C
214G,214G,28,661,695,34,90,10,1,C
214G,214G,28,778,789,11,90,10,1,C
214G,214G,28,1042,1056,14,90,10,1,C
214G,214G,28,1072,1093,21,90,10,1,C
