Region,PrimaryKey,Line,PointNbr,FOLIAR_1,FOLIAR_2,FOLIAR_3,FOLIAR_4,FOLIAR_5,SOIL_SURF
SH,201A,15,24,AGROP,POSE,L,NA,NA,S
SH,201A,15,24.5,AGROP,ACTH7,L,NA,NA,S
SH,201A,15,25,N,L,NA,NA,NA,S
SH,201A,15,25.5,N,L,NA,NA,NA,S
SH,201A,15,26,AGROP,L,NA,NA,NA,S
SH,201A,15,26.5,AGROP,L,NA,NA,NA,S
SH,201A,15,27,AGROP,ACTH7,BRTE,L,NA,S
SH,201A,15,27.5,AGROP,BRTE,L,NA,NA,S
SH,201A,15,28,AGROP,ACTH7,BRTE,L,NA,S
SH,201A,15,28.5,AGROP,L,NA,NA,NA,S
SH,201A,15,29,AGROP,NA,NA,NA,NA,AGROP
SH,201A,15,29.5,AGROP,POSE,L,NA,NA,S
SH,201A,28,0,POSE,L,NA,NA,NA,S
SH,201A,28,0.5,ACTH7,AGROP,L,NA,NA,S
SH,201A,28,1,N,L,NA,NA,NA,S
SH,201A,28,1.5,AGROP,L,NA,NA,NA,S
SH,201A,28,2,N,L,NA,NA,NA,S
SH,201A,28,2.5,AGROP,POSE,L,NA,NA,S
SH,201A,28,3,POSE,L,NA,NA,NA,S
SH,201A,28,3.5,AGROP,BRTE,L,NA,NA,S
SH,201A,28,4,N,L,NA,NA,NA,S
SH,201A,28,4.5,POSE,L,NA,NA,NA,S
SH,201A,28,5,CHJU,L,NA,NA,NA,S
SH,201A,28,5.5,BRTE,NA,NA,NA,NA,BRTE
SH,201A,28,6,AGROP,POSE,L,NA,NA,S
SH,201A,28,6.5,AGROP,L,NA,NA,NA,S
SH,201A,28,7,ACTH7,POSE,L,NA,NA,S
SH,201A,28,7.5,N,L,NA,NA,NA,S
SH,201A,28,8,ACTH7,AGROP,POSE,L,NA,S
SH,201A,28,8.5,POSE,L,NA,NA,NA,S
SH,201A,28,9,AGROP,L,NA,NA,NA,S
SH,201A,28,9.5,N,L,NA,NA,NA,S
SH,201A,28,10,POSE,L,NA,NA,NA,S
SH,201A,28,10.5,N,L,NA,NA,NA,S
SH,201A,28,11,AGROP,L,NA,NA,NA,S
SH,201A,28,11.5,POSE,L,NA,NA,NA,S
SH,201A,28,12,POSE,L,NA,NA,NA,S
SH,201A,28,12.5,AGROP,POSE,L,NA,NA,S
SH,201A,28,13,AGROP,POSE,L,NA,NA,S
SH,201A,28,13.5,AGROP,POSE,L,NA,NA,S
SH,201A,28,14,AGROP,L,NA,NA,NA,S
SH,201A,28,14.5,AGROP,L,NA,NA,NA,S
SH,201A,28,15,AGROP,NA,NA,NA,NA,S
SH,201A,28,15.5,AGROP,BRTE,NEST5,L,NA,S
SH,201A,28,16,AGROP,L,NA,NA,NA,S
SH,201A,28,16.5,AGROP,L,NA,NA,NA,S
SH,201A,28,17,N,L,NA,NA,NA,S
SH,201A,28,17.5,AGROP,L,NA,NA,NA,S
SH,201A,28,18,NEST5,L,NA,NA,NA,S
SH,201A,28,18.5,NEST5,L,NA,NA,NA,S
SH,201A,28,19,BRTE,L,NA,NA,NA,S
SH,201A,28,19.5,POSE,CHJU,NEST5,L,NA,S
SH,201A,28,20,BRTE,L,NA,NA,NA,S
SH,201A,28,20.5,DG,L,NA,NA,NA,S
SH,201A,28,21,AGROP,POSE,L,NA,NA,S
SH,201A,28,21.5,AGROP,POSE,L,NA,NA,S
SH,201A,28,22,AGROP,L,NA,NA,NA,S
SH,201A,28,22.5,N,L,NA,NA,NA,S
SH,201A,28,23,POSE,L,NA,NA,NA,S
SH,201A,28,23.5,ACTH7,BRTE,L,NA,NA,S
SH,201A,28,24,N,NA,NA,NA,NA,S
SH,201A,28,24.5,AGROP,BRTE,L,NA,NA,S
SH,201A,28,25,AGROP,L,NA,NA,NA,S
SH,201A,28,25.5,AGROP,POSE,L,NA,NA,R
SH,201A,28,26,POSE,L,NA,NA,NA,S
SH,201A,28,26.5,N,L,NA,NA,NA,S
SH,201A,28,27,AGROP,BRTE,L,NA,NA,S
SH,201A,28,27.5,ACTH7,L,NA,NA,NA,S
SH,201A,28,28,AGROP,POSE,L,NA,NA,S
SH,201A,28,28.5,ACTH7,POSE,L,NA,NA,S
SH,201A,28,29,AGROP,L,NA,NA,NA,S
SH,201A,28,29.5,ACTH7,L,NA,NA,NA,S
SH,201G,2,0,N,L,NA,NA,NA,S
SH,201G,2,0.5,CHJU,NA,NA,NA,NA,S
SH,201G,2,1,N,L,NA,NA,NA,S
SH,201G,2,1.5,N,L,NA,NA,NA,S
SH,201G,2,2,N,NA,NA,NA,NA,S
SH,201G,2,2.5,N,L,NA,NA,NA,S
SH,201G,2,3,BRTE,L,NA,NA,NA,S
SH,201G,2,3.5,AGROP,BRTE,L,NA,NA,S
SH,201G,2,4,N,NA,NA,NA,NA,S
SH,201G,2,4.5,AGROP,POSE,L,NA,NA,S
SH,201G,2,5,N,L,NA,NA,NA,S
SH,201G,2,5.5,AGROP,CHJU,BRTE,L,NA,S
SH,201G,2,6,BRTE,L,NA,NA,NA,S
SH,201G,2,6.5,POSE,L,NA,NA,NA,S
SH,201G,2,7,N,L,NA,NA,NA,S
SH,201G,2,7.5,AGROP,CHJU,L,NA,NA,S
SH,201G,2,8,AGROP,L,NA,NA,NA,S
SH,201G,2,8.5,POSE,L,NA,NA,NA,S
SH,201G,2,9,N,L,NA,NA,NA,S
SH,201G,2,9.5,N,L,NA,NA,NA,S
SH,201G,2,10,ACTH7,L,NA,NA,NA,S
SH,201G,2,10.5,AGROP,L,NA,NA,NA,S
SH,201G,2,11,POSE,L,NA,NA,NA,S
SH,201G,2,11.5,N,L,NA,NA,NA,S
SH,201G,2,12,N,L,NA,NA,NA,S
SH,201G,2,12.5,CHJU,AGROP,POSE,L,NA,S
SH,201G,2,13,N,L,NA,NA,NA,S
SH,201G,2,13.5,POSE,L,NA,NA,NA,S
SH,201G,2,14,POSE,L,NA,NA,NA,S
SH,201G,2,14.5,POSE,L,NA,NA,NA,S
SH,201G,2,15,N,NA,NA,NA,NA,S
SH,201G,2,15.5,N,NA,NA,NA,NA,S
SH,201G,2,16,CHJU,POSE,L,NA,NA,S
SH,201G,2,16.5,N,NA,NA,NA,NA,R
SH,201G,2,17,N,L,NA,NA,NA,R
SH,201G,2,17.5,AGROP,L,NA,NA,NA,S
SH,201G,2,18,POSE,L,NA,NA,NA,S
SH,201G,2,18.5,N,L,NA,NA,NA,R
SH,201G,2,19,POSE,L,NA,NA,NA,S
SH,201G,2,19.5,BRTE,L,NA,NA,NA,R
SH,201G,2,20,N,L,NA,NA,NA,S
SH,201G,2,20.5,N,NA,NA,NA,NA,R
SH,201G,2,21,N,NA,NA,NA,NA,R
SH,201G,2,21.5,BRTE,POSE,L,NA,NA,S
SH,201G,2,22,N,NA,NA,NA,NA,R
SH,201G,2,22.5,N,L,NA,NA,NA,S
SH,201G,2,23,N,NA,NA,NA,NA,R
SH,201G,2,23.5,N,NA,NA,NA,NA,S
SH,201G,2,24,N,L,NA,NA,NA,S
SH,201G,2,24.5,BRTE,L,NA,NA,NA,S
SH,201G,2,25,BRTE,L,NA,NA,NA,S
SH,201G,2,25.5,N,L,NA,NA,NA,S
SH,201G,2,26,POSE,L,NA,NA,NA,S
SH,201G,2,26.5,N,NA,NA,NA,NA,S
SH,201G,2,27,AGROP,L,NA,NA,NA,S
SH,201G,2,27.5,N,NA,NA,NA,NA,R
SH,201G,2,28,ACTH7,AGROP,L,NA,NA,R
SH,201G,2,28.5,N,L,NA,NA,NA,S
SH,201G,2,29,AGROP,POSE,L,NA,NA,S
SH,201G,2,29.5,AGROP,NA,NA,NA,NA,S
SH,201G,15,0,N,L,NA,NA,NA,S
SH,201G,15,0.5,N,L,NA,NA,NA,S
SH,201G,15,1,POSE,L,NA,NA,NA,S
SH,201G,15,1.5,N,L,NA,NA,NA,S
SH,201G,15,2,CHJU,POSE,L,NA,NA,S
SH,201G,15,2.5,POSE,L,NA,NA,NA,S
SH,201G,15,3,POSE,L,NA,NA,NA,S
SH,201G,15,3.5,POSE,L,NA,NA,NA,S
SH,201G,15,4,POSE,L,NA,NA,NA,S
SH,201G,15,4.5,N,L,NA,NA,NA,S
SH,201G,15,5,POSE,CHJU,L,NA,NA,S
SH,201G,15,5.5,AGROP,POSE,L,NA,NA,S
SH,201G,15,6,AGROP,NA,NA,NA,NA,AGROP
SH,201G,15,6.5,AGROP,L,NA,NA,NA,S
SH,201G,15,7,N,L,NA,NA,NA,S
SH,201G,15,7.5,AGROP,L,NA,NA,NA,S
SH,201G,15,8,AGROP,L,NA,NA,NA,S
SH,201G,15,8.5,AGROP,POSE,L,NA,NA,S
SH,201G,15,9,POSE,L,NA,NA,NA,S
SH,201G,15,9.5,POSE,L,NA,NA,NA,S
SH,201G,15,10,BRTE,L,NA,NA,NA,S
SH,201G,15,10.5,POSE,CHJU,L,NA,NA,S
SH,201G,15,11,N,NA,NA,NA,NA,S
SH,201G,15,11.5,N,L,NA,NA,NA,S
SH,201G,15,12,BRTE,POSE,L,NA,NA,S
SH,201G,15,12.5,AGROP,L,NA,NA,NA,S
SH,201G,15,13,AGROP,POSE,L,NA,NA,S
